id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

access_tw_payment_klik_bank_report,tw.payment.klik.report.wizard.access,model_tw_payment_klik_report_wizard,tw_payment_klik.group_tw_laporan_payment_klik_wizard,1,1,1,1

access_tw_payment_klik_verification,tw.payment.klik.access,model_tw_payment_klik,tw_payment_klik.group_tw_verification_payment_klik,1,1,1,1
access_tw_payment_klik_verification_line,tw.payment.klik.line.access,model_tw_payment_klik_line,tw_payment_klik.group_tw_verification_payment_klik,1,1,1,1

access_tw_payment_klik_approval,tw.payment.klik.access,model_tw_payment_klik,tw_payment_klik.group_tw_approval_payment_klik,1,1,1,1
access_tw_payment_klik_approval_line,tw.payment.klik.line.access,model_tw_payment_klik_line,tw_payment_klik.group_tw_approval_payment_klik,1,1,1,1

access_tw_payment_klik_process,tw.payment.klik.access,model_tw_payment_klik,tw_payment_klik.group_tw_process_payment_klik,1,1,1,1
access_tw_payment_klik_process_line,tw.payment.klik.line.access,model_tw_payment_klik_line,tw_payment_klik.group_tw_process_payment_klik,1,1,1,1

access_tw_payment_klik_monitoring_verification,tw.payment.klik.monitoring.access,model_tw_payment_klik_monitoring,tw_payment_klik.group_tw_verification_payment_klik,1,1,1,1
access_tw_payment_klik_monitoring_verification_line,tw.payment.klik.monitoring.line.access,model_tw_payment_klik_monitoring_line,tw_payment_klik.group_tw_verification_payment_klik,1,1,1,1

access_tw_payment_klik_monitoring_approval,tw.payment.klik.monitoring.access,model_tw_payment_klik_monitoring,tw_payment_klik.group_tw_approval_payment_klik,1,1,1,1
access_tw_payment_klik_monitoring_approval_line,tw.payment.klik.monitoring.line.access,model_tw_payment_klik_monitoring_line,tw_payment_klik.group_tw_approval_payment_klik,1,1,1,1

access_tw_payment_klik_monitoring_process,tw.payment.klik.monitoring.access,model_tw_payment_klik_monitoring,tw_payment_klik.group_tw_process_payment_klik,1,1,1,1
access_tw_payment_klik_monitoring_process_line,tw.payment.klik.monitoring.line.access,model_tw_payment_klik_monitoring_line,tw_payment_klik.group_tw_process_payment_klik,1,1,1,1
